seed,vertex_id,source_id,direction,direction_target_particle_id,delta_factor,terminal_nearest_neighbor_distance,terminal_delta,output_delta,output_delta_from_exact_replay,amplification,local_amplification,nearest_d1_identity_before,nearest_d1_identity_after,identity_changed,output_distance_to_original_source,exact_vertex_error,max_replay_residual,replay_runtime,finite
4652,1218,155,random,-1,0.0001,0.2141266015428228,2.1412660154282277e-05,0.0027685775523157486,0.0,129.29629165024906,0.0,1218,1218,0,0.0027685775523157486,0.0027685775523157486,4.841134260563541e-06,1.3144680932170678,1
4652,1218,155,random,-1,0.0003,0.2141266015428228,6.423798046284683e-05,0.0027685775523157486,0.0,43.09876388341636,0.0,1218,1218,0,0.0027685775523157486,0.0027685775523157486,4.841134260563541e-06,1.3144680932170678,1
4652,1218,155,random,-1,0.001,0.2141266015428228,0.00021412660154282277,0.0027685775523157486,0.0,12.929629165024908,0.0,1218,1218,0,0.0027685775523157486,0.0027685775523157486,4.841134260563541e-06,1.3144680932170678,1
4652,1218,155,random,-1,0.003,0.2141266015428228,0.0006423798046284682,0.0027685775523157486,0.0,4.309876388341636,0.0,1218,1218,0,0.0027685775523157486,0.0027685775523157486,4.841134260563541e-06,1.3144680932170678,1
4652,1218,155,random,-1,0.01,0.2141266015428228,0.002141266015428228,0.002768577552315756,2.5018537765542007e-16,1.292962916502494,1.1683993294284173e-13,1218,1218,0,0.002768577552315756,0.0027685775523157486,4.8411342605208705e-06,1.3144680932170678,1
4652,1218,155,random,-1,0.03,0.2141266015428228,0.0064237980462846815,0.0027685775523157486,0.0,0.4309876388341637,0.0,1218,1218,0,0.0027685775523157486,0.0027685775523157486,4.841134260563541e-06,1.3144680932170678,1
4652,1218,155,random,-1,0.1,0.2141266015428228,0.02141266015428228,0.0027685775523157486,0.0,0.12929629165024906,0.0,1218,1218,0,0.0027685775523157486,0.0027685775523157486,4.841134260563541e-06,1.3144680932170678,1
4652,1218,155,nearest,694,0.0001,0.2141266015428228,2.1412660154282284e-05,0.0027685775523157486,0.0,129.29629165024903,0.0,1218,1218,0,0.0027685775523157486,0.0027685775523157486,4.841134260563541e-06,1.3144680932170678,1
4652,1218,155,nearest,694,0.0003,0.2141266015428228,6.423798046284685e-05,0.0027685775523157486,0.0,43.098763883416346,0.0,1218,1218,0,0.0027685775523157486,0.0027685775523157486,4.841134260563541e-06,1.3144680932170678,1
4652,1218,155,nearest,694,0.001,0.2141266015428228,0.00021412660154282283,0.0027685775523157486,0.0,12.929629165024904,0.0,1218,1218,0,0.0027685775523157486,0.0027685775523157486,4.841134260563541e-06,1.3144680932170678,1
